request_id,amount_safe_to_pay,affordability_status,recommended_payment_method,payment_plan,earliest_date_for_full_payment,spending_changes_needed,decision_explanation
request_227,12595.85,not_affordable,not_recommended,none,,none,Do not proceed now. No eligible payment plan keeps the INR 62900 minimum protected.
request_228,0,not_affordable,not_recommended,none,,none,Do not proceed now. No eligible payment plan keeps the IDR 26191200 minimum protected.
request_229,415.68,affordable_with_plan,installments,2024-03-18:529.29|2024-04-18:529.29|2024-05-19:529.29,2024-04-15,none,Use 3 installments totaling 1587.87; the schedule stays above the minimum.
request_230,3537.6,affordable_now,full_payment,2025-08-06:3537.60,2025-08-06,none,Pay 3537.6 today; the minimum balance remains protected.
request_231,34154.48,affordable_with_plan,installments,2026-01-06:12378.08|2026-02-05:12378.08|2026-03-07:12378.08,2026-01-15,none,Use 3 installments totaling 37134.24; the schedule stays above the minimum.
request_232,0,not_affordable,not_recommended,none,,none,Do not proceed now. No eligible payment plan keeps the EUR 2400 minimum protected.
request_233,0,not_affordable,not_recommended,none,,none,Do not proceed now. No eligible payment plan keeps the IDR 10365700 minimum protected.
request_234,318.66,affordable_later,wait,2026-08-15:1213.30,2026-08-15,none,Wait until 2026-08-15 to pay 1213.3 in full safely.
request_235,967.2,affordable_now,full_payment,2024-09-06:967.20,2024-09-06,none,Pay 967.2 today; the minimum balance remains protected.
request_236,6842131.84,not_affordable,not_recommended,none,,none,Do not proceed now. No eligible payment plan keeps the IDR 16768600 minimum protected.
request_237,23826000,affordable_now,full_payment,2026-04-05:23826000,2026-04-05,none,Pay 23826000 today; the minimum balance remains protected.
request_238,663.6,affordable_with_plan,installments,2024-12-07:230.05|2025-01-07:230.05|2025-02-07:230.05,2024-12-07,none,Use 3 installments totaling 690.15; the schedule stays above the minimum.
request_239,250.34,not_affordable,not_recommended,none,,none,Do not proceed now. No eligible payment plan keeps the USD 600 minimum protected.
request_240,0,not_affordable,not_recommended,none,,none,Do not proceed now. No eligible payment plan keeps the INR 52800 minimum protected.
request_241,21052000,affordable_with_plan,installments,2024-03-17:7298026.67|2024-04-17:7298026.67|2024-05-18:7298026.67,2024-03-03,none,Use 3 installments totaling 21894080.01; the schedule stays above the minimum.
request_242,0,not_affordable,not_recommended,none,,none,Do not proceed now. No eligible payment plan keeps the EUR 600 minimum protected.
request_243,17468,affordable_now,full_payment,2026-07-07:17468,2026-07-07,none,Pay 17468 today; the minimum balance remains protected.
request_244,42340.16,not_affordable,not_recommended,none,,none,Do not proceed now. No eligible payment plan keeps the ZAR 45900 minimum protected.
request_245,32392.18,affordable_later,wait,2025-12-15:128500,2025-12-15,none,Wait until 2025-12-15 to pay 128500 in full safely.
request_246,64086,affordable_with_plan,installments,2026-04-03:22216.48|2026-05-03:22216.48|2026-06-02:22216.48,2026-04-03,none,Use 3 installments totaling 66649.44; the schedule stays above the minimum.
request_247,1059.3,affordable_now,full_payment,2024-09-05:1059.30,2024-09-05,none,Pay 1059.3 today; the minimum balance remains protected.
request_248,889.2,affordable_with_plan,partial_payment,2025-02-07:889.20|2025-03-15:1076.40,2025-03-15,none,Use the two-payment partial plan; each payment was verified against the projected balance.
request_249,158.91,not_affordable,not_recommended,none,,none,Do not proceed now. No eligible payment plan keeps the USD 600 minimum protected.
request_250,17404.9,not_affordable,not_recommended,none,,none,Do not proceed now. No eligible payment plan keeps the ZAR 35300 minimum protected.
request_251,1009.84,not_affordable,not_recommended,none,,none,Do not proceed now. No eligible payment plan keeps the EUR 1300 minimum protected.
request_252,6643701.89,affordable_later,wait,2026-08-15:28082000,2026-08-15,none,Wait until 2026-08-15 to pay 28082000 in full safely.
request_253,1352.34,affordable_with_plan,installments,2024-03-21:984.60|2024-04-21:984.60|2024-05-22:984.60,2024-04-15,none,Use 3 installments totaling 2953.8; the schedule stays above the minimum.
request_254,807.25,affordable_later,wait,2025-09-15:3535.20,2025-09-15,none,Wait until 2025-09-15 to pay 3535.2 in full safely.
request_255,3345000,affordable_now,full_payment,2026-04-06:3345000,2026-04-06,none,Pay 3345000 today; the minimum balance remains protected.
request_256,0,not_affordable,not_recommended,none,,none,Do not proceed now. No eligible payment plan keeps the INR 168600 minimum protected.
request_257,528.45,affordable_later,wait,2025-11-15:1352.40,2025-11-15,none,Wait until 2025-11-15 to pay 1352.4 in full safely.
request_258,1113.6,affordable_now,full_payment,2026-01-07:1113.60,2026-01-07,none,Pay 1113.6 today; the minimum balance remains protected.
request_259,242,affordable_later,wait,2024-10-15:935,2024-10-15,none,Wait until 2024-10-15 to pay 935 in full safely.
request_260,9082949.08,affordable_with_plan,partial_payment,2025-02-06:9082949.08|2025-04-15:42996050.92,2025-04-15,none,Use the two-payment partial plan; each payment was verified against the projected balance.
request_261,1830.4,affordable_now,full_payment,2026-07-03:1830.40,2026-07-03,none,Pay 1830.4 today; the minimum balance remains protected.
request_262,9236000,affordable_now,full_payment,2024-12-05:9236000,2024-12-05,none,Pay 9236000 today; the minimum balance remains protected.
request_263,7600.87,not_affordable,not_recommended,none,2025-07-15,none,Do not proceed now. No eligible payment plan keeps the ZAR 24100 minimum protected.
request_264,22123.85,affordable_later,wait,2026-05-15:111300,2026-05-15,none,Wait until 2026-05-15 to pay 111300 in full safely.
request_265,45970,affordable_now,full_payment,2024-03-06:45970,2024-03-06,none,Pay 45970 today; the minimum balance remains protected.
request_266,721.04,affordable_with_plan,installments,2025-08-03:324.13|2025-08-31:324.13|2025-09-28:324.13,2025-08-15,none,Use 3 installments totaling 972.39; the schedule stays above the minimum.
request_267,1540.66,affordable_with_plan,installments,2026-01-08:667.33|2026-02-07:667.33|2026-03-09:667.33,2026-03-15,stop:event_24573,Use 3 installments totaling 2001.99; the schedule stays above the minimum.
request_268,1134.52,affordable_with_plan,installments,2024-06-14:841.22|2024-07-15:841.22|2024-08-15:841.22,2024-07-15,none,Use 3 installments totaling 2523.66; the schedule stays above the minimum.
request_269,0,not_affordable,not_recommended,none,,none,Do not proceed now. No eligible payment plan keeps the ZAR 23100 minimum protected.
request_270,224.93,not_affordable,not_recommended,none,2026-09-15,none,Do not proceed now. No eligible payment plan keeps the USD 1400 minimum protected.
request_271,4014.63,affordable_later,wait,2024-11-15:91300,2024-11-15,none,Wait until 2024-11-15 to pay 91300 in full safely.
request_272,6048515.78,affordable_with_plan,installments,2025-02-12:4709466.67|2025-03-12:4709466.67|2025-04-09:4709466.67,2025-02-15,none,Use 3 installments totaling 14128400.01; the schedule stays above the minimum.
request_273,9581917.42,affordable_with_plan,partial_payment,2026-04-07:9581917.42|2026-04-15:6279082.58,2026-04-15,none,Use the two-payment partial plan; each payment was verified against the projected balance.
request_274,2415.37,affordable_with_plan,installments,2024-12-04:940.75|2025-01-04:940.75|2025-02-04:940.75,2024-12-15,none,Use 3 installments totaling 2822.25; the schedule stays above the minimum.
request_275,15884000,affordable_now,full_payment,2025-05-06:15884000,2025-05-06,none,Pay 15884000 today; the minimum balance remains protected.
